Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Sri KVR Travels,A/C Sleeper (2+1),23:35,05:15,05:40:00,560.0,13,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:10,05:35,06:25:00,450.0,28,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,05:35,05:45:00,433.0,20,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdSri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,04:35,05:25:00,665.0,17,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06:30,06:31:00,595.0,16,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),14:25,19:25,05:00:00,450.0,26,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
LVR Travels,Non A/C Seater / Sleeper (2+1),22:20,05:45,07:25:00,399.0,15,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:55,04:10,05:15:00,500.0,27,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),00:20,06:30,06:10:00,450.0,31,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri Atluri Travels,Non A/C Seater / Sleeper (2+1),22:18,03:50,05:32:00,460.0,28,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
GMRK Tours and Travels,Bharat Benz A/C Sleeper (2+1),23:30,04:50,05:20:00,649.0,15,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06:15:00,499.0,8,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:30,06:00,07:30:00,332.0,16,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),22:50,05:20,06:30:00,450.0,33,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:05,05:20,06:15:00,409.0,25,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06:55:00,395.0,22,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,AC Sleeper (2+1),23:25,06:05,06:40:00,595.0,18,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:35,05:15,06:40:00,363.0,17,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),16:00,23:00,07:00:00,332.0,4,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:05,06:27:00,329.0,31,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),23:25,05:10,05:45:00,399.0,44,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Svkdt travels,A/C Seater / Sleeper (2+1),23:35,05:30,05:55:00,399.0,17,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater/Sleeper (2+1),23:00,05:25,06:25:00,379.0,10,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater/Sleeper (2+1),22:00,05:10,07:10:00,375.0,17,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:40,05:55,06:15:00,450.0,27,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,05:25,06:15:00,665.0,11,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),23:15,06:35,07:20:00,408.0,24,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Sleeper (2+1),16:10,23:45,07:35:00,639.0,12,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),21:30,04:20,06:50:00,332.0,21,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:30,05:35,07:05:00,332.0,11,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Dharani Tours and Travels,Non A/C Seater / Sleeper (2+1),21:50,03:20,05:30:00,444.0,33,3.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
SREE VENKATESHWARA TRAVELS,A/C Seater / Sleeper (2+1),22:20,04:10,05:50:00,404.0,27,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06:05,06:20:00,436.0,18,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,AC Sleeper (2+1),23:30,06:45,07:15:00,630.0,16,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Tirumala Xpress,A/C Sleeper (2+1),23:00,05:50,06:50:00,500.0,19,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),14:30,20:10,05:40:00,332.0,6,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:12,04:53,05:41:00,629.0,24,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06:15:00,499.0,21,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),14:25,18:25,04:00:00,332.0,27,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:13,04:20,05:07:00,444.0,29,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),00:15,06:25,06:10:00,362.0,25,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),23:50,06:30,06:40:00,363.0,31,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),23:30,06:30,07:00:00,332.0,25,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Yolo Bus,A/C Seater / Sleeper (2+1),22:46,05:24,06:38:00,450.0,23,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),15:00,21:40,06:40:00,332.0,7,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri KVR Travels,NON A/C Sleeper (2+1),23:01,05:31,06:30:00,479.0,28,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
PRK Travels,Non A/C Seater / Sleeper (2+1),22:13,05:25,07:12:00,449.0,22,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:00,05:20,07:20:00,408.0,9,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),14:30,19:05,04:35:00,450.0,26,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Anjani Bus,A/C Seater / Sleeper (2+1),22:45,04:40,05:55:00,399.0,32,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
LVP Travels,A/C Seater / Sleeper (2+1),22:19,04:45,06:26:00,499.0,24,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Orange Tours And Travels,A/C Sleeper (2+1),22:25,04:45,06:20:00,700.0,15,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
BSR Tours And Travels,VE A/C Sleeper (2+1),22:00,04:10,06:10:00,880.0,15,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri Durga Malleswari Travels,A/C Seater / Sleeper (2+1),21:00,04:40,07:40:00,466.0,17,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Go Tour Travels and Holidays,A/C Seater / Sleeper (2+1),23:10,04:15,05:05:00,561.0,24,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,05:45,06:45:00,400.0,26,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri Venkata Padmavathi Travels,Non A/C Seater / Sleeper (2+1),22:42,06:00,07:18:00,490.0,37,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,05:30,06:30:00,400.0,35,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
