Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
UPSRTC - RKD0134,Janrath AC Seater 2+3,00:31,05:31,05h 00m,INR 520,46 Seats available,"1.9
17",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - STD0161,Ordinary Non AC Seater 2+3,06:00,13:16,07h 16m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - GRH0229,Ordinary Non AC Seater 2+3,06:00,12:30,06h 30m,INR 418,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - RKD0129,Janrath AC Seater 2+2,06:01,11:01,05h 00m,INR 598,35 Seats available,"3.1
17",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - GRH0230,Ordinary Non AC Seater 2+3,06:30,13:00,06h 30m,INR 418,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - NDD0236,Ordinary Non AC Seater 2+3,06:59,13:00,06h 01m,INR 436,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - GRH0232,Ordinary Non AC Seater 2+3,07:00,13:30,06h 30m,INR 418,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - STD0304,Ordinary Non AC Seater 2+3,07:10,14:32,07h 22m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - GRH0233,Ordinary Non AC Seater 2+3,07:30,14:00,06h 30m,INR 418,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - STD0360,Ordinary Non AC Seater 2+3,07:42,14:36,06h 54m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - RKD0132,Shatabdi AC Seater 2+2,07:51,13:01,05h 10m,INR 598,36 Seats available,"3.3
19",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - STD0361,Ordinary Non AC Seater 2+3,08:00,14:31,06h 31m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - ARH0118,Ordinary Non AC Seater 2+3,08:01,12:10,04h 09m,INR 420,51 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - STD0597,Ordinary Non AC Seater 2+3,08:30,15:29,06h 59m,INR 418,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - STD0374,Ordinary Non AC Seater 2+3,08:30,15:03,06h 33m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - BLY0140,Janrath AC Seater 2+2,08:47,14:30,05h 43m,INR 598,36 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - STD0071,Janrath AC Seater 2+2,09:02,15:16,06h 14m,INR 598,36 Seats available,"4.1
4",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - KSB0085,Volvo AC Seater 2+2,09:31,14:31,05h 00m,INR 844,39 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - HPR0001,Ordinary Non AC Seater 2+3,10:20,16:00,05h 40m,INR 444,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - MDD0050,Ordinary Non AC Seater 2+3,10:25,15:45,05h 20m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - HPR0002,Ordinary Non AC Seater 2+3,10:40,16:30,05h 50m,INR 444,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - HPR0003,Ordinary Non AC Seater 2+3,11:00,17:00,06h 00m,INR 444,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - PLB0004,Shatabdi AC Seater 2+2,11:00,16:50,05h 50m,INR 598,37 Seats available,"4.3
17",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - HPR0004,Ordinary Non AC Seater 2+3,11:20,17:30,06h 10m,INR 444,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - HPR0005,Ordinary Non AC Seater 2+3,11:40,18:00,06h 20m,INR 444,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - RKD0127,Shatabdi AC Seater 2+2,11:49,16:49,05h 00m,INR 598,37 Seats available,"4.3
26",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
